t	Dynamometr	EMG
3.115	30.4129	-1.04309
3.12	30.4304	0.284119
3.125	30.4478	-0.454102
3.13	30.4478	-0.211182
3.135	30.4478	-1.10718
3.14	30.4478	0.876465
3.145	30.4304	0.438232
3.15	30.3955	0.700378
3.155	30.3781	0.64209
3.16	30.3606	-0.910339
3.165	30.3432	-0.476685
3.17	30.3258	1.70959
3.175	30.3258	-1.20178
3.18	30.3258	0.544128
3.185	30.3258	0.335693
3.19	30.3258	-0.827942
3.195	30.3258	0.457458
3.2	30.3258	0.140381
3.205	30.3258	0.384216
3.21	30.3432	-1.44745
3.215	30.3432	-0.232544
3.22	30.3432	-1.1496
3.225	30.3258	-2.89551
3.23	30.3083	0.858459
3.235	30.2734	1.33606
3.24	30.256	-0.131226
3.245	30.256	0.619202
3.25	30.2734	-0.0561523
3.255	30.2909	-1.84753
3.26	30.3083	1.0144
3.265	30.3083	1.35712
3.27	30.3083	-1.25061
3.275	30.3083	1.11206
3.28	30.3083	-0.802002
3.285	30.3083	0.133667
3.29	30.2909	0.26123
3.295	30.2734	-1.12244
3.3	30.2386	-0.303955
3.305	30.2211	-0.430603
3.31	30.2211	-1.47339
3.315	30.2037	0.410767
3.32	30.1862	-0.393677
3.325	30.1862	0.469666
3.33	30.1862	0.401917
3.335	30.1862	-0.405579
3.34	30.1862	1.65344
3.345	30.1862	-0.00183105
3.35	30.1862	-1.52191
3.355	30.1688	-1.89087
3.36	30.1514	0.607605
3.365	30.1165	0.267334
3.37	30.0816	-0.720825
3.375	30.0642	-0.144348
3.38	30.0642	-0.534973
3.385	30.0816	0.46814
3.39	30.0991	-0.787354
3.395	30.1165	1.04095
3.4	30.1339	-0.736084
3.405	30.1339	-0.296326
3.41	30.1339	-0.0592041
3.415	30.1165	0.531616
3.42	30.0991	0.0894165
3.425	30.0642	1.58264
3.43	30.0119	1.06659
3.435	29.977	0.27832
3.44	29.977	-0.0469971
3.445	29.9944	-0.888062
3.45	30.0119	-1.01013
3.455	30.0119	0.256348
3.46	30.0119	1.46912
3.465	30.0467	-0.531006
3.47	30.1165	0.468445
3.475	30.1688	-0.533447
3.48	30.2037	1.41174
3.485	30.2211	0.0100708
3.49	30.2037	-0.981445
3.495	30.1688	0.0952148
3.5	30.1339	-1.16882
3.505	30.0816	-0.707092
3.51	30.0293	1.3678
3.515	29.9944	1.41846
3.52	29.9595	-0.626831
3.525	29.9421	-0.520935
3.53	29.9247	0.0219727
3.535	29.9247	-0.231628
3.54	29.9247	-0.0619507
3.545	29.9247	-0.709534
3.55	29.9421	0.408325
3.555	29.977	-0.673828
3.56	29.9944	-0.918579
3.565	30.0119	0.379333
3.57	30.0119	2.02515
3.575	29.9944	0.472717
3.58	29.9944	0.201416
3.585	29.9944	0.559998
3.59	29.9944	-0.134583
3.595	30.0119	-0.606689
3.6	30.0293	-0.869446
3.605	30.0293	-0.65979
3.61	30.0293	1.67908
3.615	29.9944	-0.0436401
3.62	29.977	-2.07184
3.625	29.977	2.13074
3.63	29.977	0.134888
3.635	29.977	-1.09009
3.64	29.9944	0.704956
3.645	29.9944	0.478821
3.65	30.0119	-0.0714111
3.655	30.0119	-0.809326
3.66	30.0119	-0.812988
3.665	30.0119	-0.0808716
3.67	30.0119	-0.740356
3.675	29.9944	1.78223
3.68	29.9595	0.939026
3.685	29.9247	-0.395813
3.69	29.9247	0.835876
3.695	29.9247	-1.37939
3.7	29.9247	0.43396
3.705	29.9072	-0.17395
3.71	29.8898	-0.711975
3.715	29.8723	0.787048
3.72	29.8898	-0.480347
3.725	29.8898	-1.19965
3.73	29.8898	0.490723
3.735	29.8723	-0.535889
3.74	29.8549	-0.165405
3.745	29.8375	-1.19354
3.75	29.82	0.132751
3.755	29.8026	0.745544
3.76	29.7852	0.9198
3.765	29.7677	-0.102844
3.77	29.7677	-1.04431
3.775	29.7677	0.744934
3.78	29.7677	-0.346069
3.785	29.7503	0.246887
3.79	29.7328	0.734863
3.795	29.698	0.23468
3.8	29.698	-1.10443
3.805	29.698	1.21368
3.81	29.6805	1.81458
3.815	29.6282	-1.74713
3.82	29.5933	1.42059
3.825	29.5759	-1.04187
